"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
34,"JS","JS_DeepHole_20190807_1350_PML_3.5_Limno.Sample.20160505",2019-08-07,"PON",88,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"LE","LE_DeepHole_20190819_1155_Surface_0_fishScapesLimno.20190319",2019-08-19,"PON",150,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"LL","LL_DeepHole_20190817_1705_Surface_0_fishScapesLimno.20190319",2019-08-17,"PON",51,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"LT","LT_DeepHole_20190820_1150_Surface_0_fishScapesLimno.20190319",2019-08-20,"PON",278,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"LV","LV_DeepHole_20190823_1030_Surface_0_fishScapesLimno.20190319",2019-08-23,"PON",269,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"ME","ME_DeepHole_20190524_840_Hypo_3.5_Limno.Sample.20160505",2019-05-24,"PON",106,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"ME","ME_DeepHole_20190524_840_PML_1.5_Limno.Sample.20160505",2019-05-24,"PON",102,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"ME","ME_DeepHole_20190606_931_Hypo_3_Limno.Sample.20160505",2019-06-06,"PON",106,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"ME","ME_DeepHole_20190606_931_PML_1_Limno.Sample.20160505",2019-06-06,"PON",89,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"ME","ME_DeepHole_20190619_1333_Hypo_2.5_Limno.Sample.20160505",2019-06-19,"PON",64,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"ME","ME_DeepHole_20190619_1333_PML_1_Limno.Sample.20160505",2019-06-19,"PON",67,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"ME","ME_DeepHole_20190703_847_Hypo_3_Limno.Sample.20160505",2019-07-03,"PON",91,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"ME","ME_DeepHole_20190703_847_PML_1.5_Limno.Sample.20160505",2019-07-03,"PON",77,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"ME","ME_DeepHole_20190718_1400_Hypo_4_Limno.Sample.20160505",2019-07-18,"PON",82,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"ME","ME_DeepHole_20190718_1400_PML_2_Limno.Sample.20160505",2019-07-18,"PON",78,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"ME","ME_DeepHole_20190730_1041_Hypo_3_Limno.Sample.20160505",2019-07-30,"PON",99,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
